[00:44:16] [INFO] received Windows console close event; shutting log-core down
[01:00:08] [INFO] received Windows console close event; shutting log-core down
[02:14:04] [INFO] received Windows console close event; shutting log-core down
[22:03:50] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:26:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:29:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:37:04] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[14:42:47] [INFO] received Windows console close event; shutting log-core down
[23:15:50] [INFO] received Windows console close event; shutting log-core down
[23:16:12] [INFO] received Windows console close event; shutting log-core down
[23:16:23] [INFO] received Windows console close event; shutting log-core down
[02:03:21] [INFO] received Windows console close event; shutting log-core down
[02:22:04] [INFO] received Windows console close event; shutting log-core down
[02:28:54] [INFO] received Windows console close event; shutting log-core down
[15:24:37] [INFO] received Windows console close event; shutting log-core down
[20:41:30] [INFO] received Windows console close event; shutting log-core down
[21:02:32] [INFO] received Windows console close event; shutting log-core down
[21:09:48] [INFO] received Windows console close event; shutting log-core down
[21:10:05] [INFO] received Windows console close event; shutting log-core down
[21:12:03] [INFO] received Windows console close event; shutting log-core down
[18:54:42] [INFO] received Windows console close event; shutting log-core down
[22:44:50] [INFO] received Windows console close event; shutting log-core down
[22:46:05] [INFO] received Windows console close event; shutting log-core down
[22:54:15] [INFO] received Windows console close event; shutting log-core down
[19:32:28] [INFO] received Windows console close event; shutting log-core down
[20:02:27] [INFO] received Windows console close event; shutting log-core down
[20:02:58] [INFO] received Windows console close event; shutting log-core down
[04:06:23] [INFO] received Windows console close event; shutting log-core down
[23:00:44] [INFO] received Windows console close event; shutting log-core down
[23:01:59] [INFO] received Windows console close event; shutting log-core down
[23:02:05] [INFO] received Windows console close event; shutting log-core down
[00:25:15] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:13:16] [INFO] received Windows console close event; shutting log-core down
[23:03:10] [INFO] received Windows console close event; shutting log-core down
[15:01:23] [INFO] received Windows console close event; shutting log-core down
[15:04:40] [INFO] received Windows console close event; shutting log-core down
[03:18:39] [INFO] received Windows console close event; shutting log-core down
[07:34:11] [INFO] received Windows console close event; shutting log-core down
[08:15:47] [INFO] received Windows console close event; shutting log-core down
